Localidades,Quantidade_ton,PIB_reais_correntes_2016,População,Grau de Urbanização (Em %),Total de Despesas Municipais  Saneamento 2011,Total de Despesas Municipais  Gestão Ambiental 2011,Total de Despesas Municipais - Saúde 2013
Santa Fé do Sul,40320,955477.6,30353,96.06,5597642,,19699982
Santa Gertrudes,7405,1300024,24818,98.94,581713,,18498169
Santa Isabel,18127,1238723,53748,80.39,5466851,,35353445
Santa Lúcia,803,100238.8,8474,95.47,1404015,,4426576
Santa Maria da Serra,1358,113636.4,5918,90.17,,,5748067
Santa Mercedes,2813,61268.29,2815,90.3,,,3363949
Santa Rita d'Oeste,1148,55812.13,2446,76.41,376814,,2624958
Santa Rita do Passa Quatro,6473,621984.7,26419,91.31,5004147,279626,17548635
Santa Rosa de Viterbo,23022,729410.8,25096,95.97,,581110,13247325
Santana da Ponte Pensa,278,33947.69,1543,72,,16,2784312
Santana de Parnaíba,65807,8485338,129502,100,,,136613538
Santo Anastácio,5652,397047.8,20205,93.98,,149163,10278976
Santo André,341847,25837046,688899,100,314537219,111923514,487088610
Santo Antônio da Alegria,5754,149909.8,6541,74.96,373958,,6056045
Santo Expedito,561,33299.67,2923,92.2,,,1821177
Santópolis do Aguapeí,971,60763.09,4555,97.39,,,3905827
Santos,185780,21954557,425621,99.93,,26216808,444196572
São Bento do Sapucaí,3600,178593.4,10501,50.58,,,4485008
São Bernardo do Campo,258808,42131380,799645,98.37,6945579,7317761,932340825
São Caetano do Sul,61125,13286711,150860,100,129362597,2234145,227142847
São Carlos,233256,10063062,236958,96,9660528,3002132,174083417
São Francisco,1130,46814.36,2712,80.9,,,2872772
São João da Boa Vista,30790,2751092,86349,97.08,,,68806262
São João de Iracema,360,30389.73,1832,87.39,207256,12073,2575005
São João do Pau d'Alho,591,48473.03,2016,85.02,278944,29109,2123257
São Joaquim da Barra,11251,1464259,49220,98.23,7603524,,21566631
São José da Bela Vista,600,150891.1,8624,90.62,683756,17886,4184996
São José do Barreiro,650,48498.85,4069,76.68,84648,,4291193
São José do Rio Pardo,533,1689896,52839,91.24,9193573,149976,42252215
São José do Rio Preto,476082,15735652,437273,93.93,105622956,66351050,290204705
São José dos Campos,443957,37315783,687544,97.97,9136758,20104742,531635629
São Lourenço da Serra,4321,196330.8,15082,92.51,6409,132096,9939276
São Luís do Paraitinga,4005,143813.4,10511,59.8,,,5913351
São Manuel,12502,1115217,39202,98.47,64300,,25874975
São Miguel Arcanjo,4354,648708.2,31809,74.47,64866,122594,12861674
São Paulo,9686657,687000000,11696088,99.1,431509914,410411143,6613636235
São Pedro do Turvo,2210,194315.5,7308,76.12,749583,,6209918
São Roque,28,2530729,85059,95.6,,,42594342
São Sebastião,1404,3517128,83314,98.87,158685,5850512,133700479
São Sebastião da Grama,3945,313908.5,11960,69.61,866694,,7402635
São Simão,120,445653.1,14689,91.73,1409648,2457,13569391
São Vicente,89389,5046457,350254,99.81,37923,41710105,190146091
Sarapuí,1645,133110.3,9782,78.54,796,,5490403
Sarutaiá,73,63304.26,3636,85.09,,,2648418
Sebastianópolis do Sul,547,853865.7,3229,83.4,,1872,4516981
Serra Azul,4986,143962.5,11966,71.23,281082,,6844486
Serra Negra,7443,668012.3,27164,86.99,,,14241380
Serrana,13259,882842.7,42820,99.33,4470868,,28531529
Sertãozinho,36207,5119743,119010,99.41,30387778,22754360,87549373
Sete Barras,2948,367439.4,12666,68.09,521721,42847,8356130
Severínia,4200,611863,16649,96.41,1808821,,8994522
Socorro,17330,747442.7,38221,70.53,357593,,18867335
Sorocaba,182484,30593861,637436,98.98,127961152,13668543,460039426
Sud Mennucci,6244,291720.2,7639,86.08,,63788,9223294
Sumaré,79171,12061113,271202,98.82,71572697,1823690,134531853
Suzanápolis,650,310646.5,3790,66.75,470982,,5085932
Suzano,101847,9468888,282428,96.48,,405801,136779912
Tabapuã,2815,255913.6,11759,93.55,1744647,34486,7852113
Tabatinga,6528,235916.6,15540,89.16,944047,,10259738
Taboão da Serra,151254,8350023,272130,100,32099979,34385,158673849
Taciba,1450,130239.4,5954,87.05,,,7305483
Taiaçu,4654,79970.65,5996,92.58,437524,,4265806
Taiúva,3670,100595.7,6313,93.22,991872,,4679199
Tambaú,5798,489395.9,22666,90.69,3574152,1047479,14360821
Tanabi,5569,1201448,24837,92.66,4536232,,16773129
Tapiraí,1680,144531.4,7749,74.07,250417,,4505941
Tapiratiba,2637,290820,12635,87.84,1338477,,7762759
Taquaral,560,39699.64,2739,96.46,249361,,3869209
Tarabai,3600,97438.23,7070,93.61,,6697,5704732
Tarumã,10128,1128852,14242,95,227293,964317,10141860
Tatuí,29517,3671217,116296,96.72,,253512,71450532
Taubaté,109500,14135705,299140,97.95,9845983,699419,167006175
Teodoro Sampaio,13907,1076268,22122,82.25,,,15909065
Terra Roxa,4020,128880.9,8939,96.04,,,6053122
Tietê,8618,1734556,39836,91.24,10605354,1566,23544627
Timburi,650,48847.75,2580,76.55,,,2918290
Torre de Pedra,685,22804.52,2299,69.42,,49,2495634
Torrinha,2140,199847.8,9597,86.69,1302824,,4407400
Tremembé,12000,656524.2,44617,92.27,157186,,19199924
Três Fronteiras,2096,93610.41,5514,87.54,,,3610599
Tuiuti,1314,109998,6382,53.04,307904,,3239593
Tupã,17911,1670492,63004,95.99,,7230516,37035610
Tupi Paulista,5657,260852.1,14805,78.53,1749693,,10497046
Turiúba,720,39074.56,1921,83.81,,,2936402
Turmalina,180,54058.33,1852,74.68,,,2498003
Ubarana,5460,441480.8,5838,92.22,1232832,63441,4280374
Ubatuba,42970,1786358,85866,97.65,,15550811,56783540
Ubirajara,535,91881.7,4593,73.5,,,3947417
Uchoa,1783,311434.9,9626,93.67,1498279,58342,7589178
Urânia,4500,181975.8,8685,86.36,,11715,6464372
Uru,138,47516.79,1217,92.28,,,2648834
Urupês,4779,338378.3,13039,91.22,1126292,,7118778
Valentim Gentil,3096,339245.9,12268,92.53,343917,,6513885
Valinhos,35479,5095635,120369,95.5,48550547,,89193982
Vargem Grande do Sul,7500,891382.6,40863,95.9,6365109,938074,21216499
Vargem Grande Paulista,14423,1745432,49842,100,,109419,31918499
Várzea Paulista,1476,2360681,116785,100,,74151,39030811
Vera Cruz,579,123293.7,10584,89.13,,,4570422
Vinhedo,67292,7830624,73561,96.86,26668589,1430264,96588720
Viradouro,4807,292404,18050,97.07,2015003,,9173890
Vista Alegre do Alto,8903,347786,7697,94.19,1052202,7537,7824366
Vitória Brasil,504,31994.91,1755,87.35,,600,2261671
Votorantim,33048,4387884,116562,96.19,,,2805543
Votuporanga,25419,2680060,89776,97.2,14893610,7640611,47966277
Zacarias,2649,75934.89,2498,83.63,,,3940027
