Localidades,Quantidade_ton,PIB_reais_correntes_2016,População,Grau de Urbanização (Em %),Total de Despesas Municipais  Saneamento 2011,Total de Despesas Municipais  Gestão Ambiental 2011,Total de Despesas Municipais - Saúde 2013
Barra do Chapéu,2316,81765.33,5439,29.44,,,3330086
Barra do Turvo,1694,80276.81,7670,45.02,102445,,5663191
Barrinha,4693,479540,31199,98.89,3135909,,12081038
Barueri,94250,47088302,257525,100,882439,84124294,542170039
Bastos,4669,822429.3,20276,87.98,,129015,13674365
Batatais,11033,1662099,59167,88.44,15193757,206324,43081165
Bauru,94750,13141086,358619,98.33,100138298,15747670,187703112
Bebedouro,18018,3220044,74483,95.96,17156228,330716,54369640
Bento de Abreu,100,127996.7,2866,94.73,,,3076052
Bertioga,31430,1487645,58595,98.89,,6192931,72048433
Bilac,1133,187383.6,7606,93.73,1082511,110006,4852638
Birigui,28921,3274072,117793,97.27,21699745,1143078,63020407
Bocaina,1718,1045240,11767,93.09,,2466122,7959961
Bofete,2016,158686.7,10651,63.76,,14983,6680326
Boituva,17328,2610873,54817,94.07,,10986902,26391532
Bom Jesus dos Perdões,1236,550781.3,22966,90.28,2966431,329500,15286335
Bom Sucesso de Itararé,1825,49398.45,3766,72.84,,62350,3122316
Borá,250,83825.06,810,77.9,,,2549632
Boracéia,827,199889.7,4615,90.79,,90244,4277792
Borborema,2753,387635.3,15114,93.14,1768427,114451,11393580
Botucatu,35499,4842900,137334,96.56,17149373,1849830,67139430
Braúna,3859,87397.19,5402,91.5,761629,,4148941
Brejo Alegre,542,766056.2,2713,84.81,,,3905048
Brodowski,6800,537001.8,23177,98.5,2766566,10733,13794933
Brotas,5062,670395.5,23212,86.72,4006998,2447788,15637716
Buri,8640,383837.4,19304,82.83,,,10412318
Buritama,14800,517636.2,16268,95.52,,,15727812
Cabrália Paulista,813,80710.24,4317,87.05,33711,,4345700
Cabreúva,21561,4141539,47068,88.34,158753,878263,29043529
Caçapava,22133,3580187,89483,99.2,1571790,38073,68583332
Cachoeira Paulista,6000,559694.4,31623,85.56,,273315,14827835
Caconde,450,308767.2,18752,82.95,1544420,,8343757
Cafelândia,2423,440010.3,17060,70.74,2106993,,11002577
Caieiras,52825,2706457,96368,89.19,292910,535217,40501077
Caiuá,516,78774.81,5435,98.09,511926,14484,4398011
Cajamar,31590,13020610,73588,38.31,5017608,4275756,84366404
Cajati,5396,1052221,28697,98.68,239012,711590,23844955
Cajobi,8,146390.5,10016,73.82,1867534,,6149544
Cajuru,3336,546608.8,24981,94.59,176788,289654,17789934
Campina do Monte Alegre,2051,109868.9,5738,89.26,28,,2846225
Campinas,729788,58523733,1150753,87.14,,1160674,1091370485
Campo Limpo Paulista,24737,1675995,80282,98.28,,84570,38070317
Campos do Jordão,21900,1197119,49442,100,,3079590,29213628
Campos Novos Paulista,1910,137858.2,4732,99.38,,,3542001
Cananéia,8,203586.5,12263,81.3,,1375515,10498395
Canas,1356,150703.3,4862,86.43,,,2727183
Cândido Mota,15379,915663,29987,95.5,3117998,476369,20610994
Cândido Rodrigues,639,88308.96,2675,94.87,,,3131117
Capão Bonito,9956,832521.3,46247,84.19,,24435,24019944
Capela do Alto,4477,286886.7,19606,84.13,,456446,8873445
Capivari,15257,1606978,52543,85.66,12488444,505048,29661436
Caraguatatuba,44291,2658208,111787,97.09,,1992482,84827694
Carapicuíba,98468,5214113,387735,96.17,,2111080,69351716
Cardoso,4056,209133.2,11749,100,,11518,7301624
Casa Branca,710,846567.6,29124,91.7,3907280,,14951557
Cássia dos Coqueiros,900,140977.7,2529,82.53,,,3530893
Castilho,14753,594039.5,19929,74.38,587507,15609,22738364
Catanduva,40466,3856233,116051,75.46,33331932,15741999,61760186
Catiguá,2124,102921.3,7418,92.9,,25332,3971460
Cedral,2437,272896.6,8592,81.87,996564,44153,5617133
Cerqueira César,132,685903.9,18716,91.53,1653426,333156,13491455
Cerquilho,11772,1702651,44552,94.83,11997394,,25968367
Cesário Lange,4519,364362.5,16805,67.52,,36214,9878235
Charqueada,4600,272056.9,16394,91.27,,,8724355
Chavantes,4222,200611.1,12190,93.82,2083918,,7511780
Clementina,290,214425,7970,96.55,2345524,101741,4784243
Colina,13576,1136379,17550,94.89,3368488,186830,11254808
Conchal,4262,641063.4,26682,96.21,3021914,327749,19227930
Conchas,3650,323591.7,16882,84.17,,400820,10826821
Cordeirópolis,9655,2258963,23425,89.82,5364529,534553,24872803
Coronel Macedo,810,77636.52,4874,80.63,,360068,4018448
Corumbataí,1248,166351.3,3936,60.01,512363,1536,4277134
Cosmópolis,19015,1318218,67647,92.87,6129789,2762489,27918661
Cosmorama,4526,227705.8,7059,74.46,983293,321047,5634880
Cotia,158528,10991458,233703,100,,1528824,114853207
Cravinhos,10787,1037157,33633,98.28,5464695,,18334614
Cristais Paulista,1920,177262.3,8187,80.31,850391,,4853862
Cruzália,989,69483.22,2158,69.83,,489405,3047955
Cruzeiro,14487,1988301,79117,97.67,6565013,4377464,48545910
Cubatão,50596,17668001,126059,100,1116767,27828826,210233303
Descalvado,29217,1385107,32048,91.85,,5050065,27756420
Diadema,116196,13229745,399510,100,20341039,1433604,347687380
Dirce Reis,500,52678.13,1712,80.72,,,2667766
Divinolândia,370,269347.3,10966,72.92,,32484,5719484
Dobrada,2800,98288.5,8615,97.77,2449159,,3984710
Dois Córregos,4900,683547.8,26305,96.36,4446994,370161,16704491
Dolcinópolis,1359,43339.18,2058,93.78,,,3301666
Dourado,1330,699914.6,8516,91.62,,11179,6386554
Dracena,19173,1121150,44545,92.74,93387,588651,32427895
