Localidades,Quantidade_ton,PIB_reais_correntes_2016,População,FN208 - Despesa total com o serviço de coleta de RDO e RPU (Antigo campo CO009),FN220 - Despesa total com serviços de manejo de RSU (Antigo campo GE007),FN223 - Despesa Corrente da Prefeitura durante o ano com TODOS os serviços do município (saúde. educação. pagamento de pessoal. etc.). (Antigo campo GE010),PO001 - O município possui Política de Saneamento Básico Conforme a Lei 11.445/2007?,PO028 - O município possui plano municipal de saneamento básico. elaborado nos termos estabelecidos na Lei 11.445/2007?
Garça,27216.00,1091079.00,42654.00,,2724257.51,106686514.15,0,0
Gastão Vidigal,1776.00,59541.92,4614.00,115439.02,158234.04,14000000.00,1,0
Gavião Peixoto,2017.00,860154.2,4553.00,,170668.00,25379831.82,1,1
General Salgado,3287.00,528457.4,10671.00,313095.77,431696.61,34038040.07,1,0
Getulina,2160.00,170097.00,10817.00,,264153.77,26045956.95,0,0
Glicério,53.80,101972.8,4698.00,50000.00,138350.00,18290455.94,1,1
Guaiçara,4756.00,186879.7,11576.00,289270.43,1159682.45,28394587.90,1,1
Guaimbê,825.00,72903.03,5493.00,,76944.67,16525802.15,1,1
Guaíra,12744.00,3821035.00,38619.00,1052352.00,4681032.00,133956824.12,1,1
Guapiaçu,5005.30,508225.6,20021.00,1693358.06,3581048.27,54265337.33,0,1
Guapiara,1159.00,529401.7,17724.00,153134.16,461503.03,44567500.92,1,1
Guaraçaí,7300.00,259904.00,8428.00,374283.05,763033.40,22373013.91,1,1
Guaraci,8501.90,325484.7,10685.00,1804645.72,1956294.11,38906723.50,0,0
Guarani d'Oeste,450.00,30634.16,1937.00,56627.70,153079.81,11483949.85,0,0
Guarantã,1390.00,147330.7,6452.00,477071.08,1763285.78,16887239.48,1,1
Guararapes,8387.60,1237334.00,31696.00,1204593.74,1290665.99,76036608.59,0,0
Guararema,11043.00,1427047.00,28330.00,,2909525.00,145476250.08,1,1
Guaratinguetá,28201.30,4232993.00,116597.00,10624769.00,11139438.00,257566692.43,1,1
Guareí,3217.00,229065.7,15395.00,319648.05,589590.43,33945263.64,0,1
Guariba,613.00,1174644.00,38010.00,139823.09,3423945.15,89612274.55,1,1
Guarujá,158852.00,7905851.00,308522.00,44971742.39,52706074.14,1265298525.84,0,0
Guarulhos,361369.00,53974919.00,1313169.00,62433601.52,71692278.77,2896240050.88,1,1
Guatapará,3186.00,206085.1,7297.00,52819.00,120400.00,25450830.00,1,1
Guzolândia,3270.00,64696.53,5004.00,106000.00,170000.00,14587926.60,1,1
Herculândia,2105.20,269831.00,9091.00,207287.83,661773.43,20964250.76,0,0
Holambra,1653.00,909273.8,13616.00,1849929.97,2571382.98,65796300.61,1,1
Hortolândia,84012.00,11515072.00,218934.00,6524458.25,19627726.87,623129154.04,1,0
Iacanga,6090.00,629954.6,10939.00,554099.68,1245915.30,41283899.30,0,1
Iacri,1285.00,149485.8,6320.00,247500.00,413450.00,17500000.00,1,1
Iaras,2192.00,134887.9,6731.00,,140000.00,8000000.00,0,0
Ibaté,0.40,774228.3,33572.00,,,,,
Ibirá,1558.00,221036.7,11733.00,127864.13,332905.67,34097501.74,0,0
Ibirarema,3448.40,350597.00,7274.00,592972.07,1048091.33,21674044.70,1,1
Ibitinga,14485.00,1354044.00,57022.00,1660287.98,2208977.76,126758552.48,1,1
Ibiúna,20866.00,1597888.00,74875.00,3724587.48,6034831.92,216314774.56,1,1
Icém,2025.00,405233.1,7867.00,62570.83,395410.39,32367074.37,1,1
Iepê,2308.50,243516.4,7828.00,141640.30,468700.63,30166219.10,0,0
Igaratá,3400.00,177756.3,9169.00,1054283.20,1365883.20,39776051.59,1,1
Iguape,5678.80,620571.6,29235.00,600000.00,4310190.80,80275082.33,0,0
Ilha Solteira,10603.00,568519.7,25591.00,,876361.52,95104755.00,0,0
Ilhabela,16425.00,3011806.00,31988.00,,,,,
Indaiatuba,72543.00,11735700.00,232586.00,12930000.00,56498000.00,725442043.38,1,1
Indiana,1460.00,60021.65,4791.00,,397500.00,13458233.05,0,0
Indiaporã,700.00,72565.00,3863.00,127112.89,259163.17,18652941.25,1,1
Inúbia Paulista,292.00,124058.9,3818.00,179509.00,217926.00,14539479.21,0,0
Ipaussu,7360.00,367707.4,14247.00,364744.00,857551.05,39310776.53,1,1
Iperó,9557.40,476481.7,32632.00,,1564200.36,75793623.00,1,1
Ipeúna,2490.00,659789.4,7087.00,478986.62,859919.48,25164225.08,0,0
Ipiguá,377.00,85629.95,5011.00,,,,,
Ipuã,6886.00,353575.5,15360.00,,2183161.87,12007596.93,0,0
Iracemápolis,726.00,1163373.00,22655.00,118000.00,403000.00,76107803.34,1,1
Irapuru,1032.00,84026.44,7460.00,148361.21,283211.54,16133233.11,0,0
Itaí,3647.00,771037.00,25753.00,1263532.23,1648272.02,61300846.06,0,1
Itajobi,3501.80,560527.7,14618.00,666037.88,937540.27,45135456.91,1,1
Itaju,576.00,93803.85,3539.00,165615.95,173415.95,15873581.65,1,1
Itanhaém,36091.00,1603283.00,95235.00,8333080.51,21961626.84,336646095.99,1,1
Itaóca,475.00,35903.66,3186.00,150000.00,256650.00,10035288.17,0,1
Itapecerica da Serra,956.00,3853304.00,164559.00,18458151.74,19151350.46,321023063.51,1,1
Itapetininga,16748.00,4652157.00,155410.00,0.00,5952554.16,352167244.31,0,1
Itapeva,48399.00,2409815.00,90414.00,4037163.52,8385427.57,238433521.12,1,0
Itapevi,130074.00,12147662.00,226211.00,19214825.42,35302422.78,565953321.00,0,1
Itapira,1018.80,3430994.00,70802.00,,,,,
Itapirapuã Paulista,768.00,33631.13,4075.00,61200.00,239762.81,14875721.90,0,0
Itápolis,9787.00,1178197.00,41120.00,1272028.53,2874140.80,94407811.12,1,1
Itaporanga,7001.00,280430.7,14635.00,185526.00,578778.00,30792544.85,0,0
Itapuí,3169.00,610325.8,13314.00,227320.00,352863.27,38538183.19,1,1
Itapura,1500.00,99603.89,4748.00,352538.97,476646.15,19574269.84,1,1
Itaquaquecetuba,94603.00,6507690.00,355502.00,32835073.14,32835073.14,507798642.82,1,1
Itararé,7368.00,923171.8,48633.00,,3001455.20,104550655.79,0,1
Itariri,1885.00,231645.00,16720.00,,433984.09,31028447.30,1,0
Itatiba,32434.00,5122839.00,113324.00,,8392755.50,288846830.20,1,1
Itatinga,3600.00,265524.9,19779.00,,,,,
Itirapina,9544.00,404517.5,16682.00,180000.00,521980.60,57957926.96,1,1
Itirapuã,965.60,77912.12,6167.00,66842.04,131669.04,15995773.85,1,1
Itobi,1250.00,127386.9,7591.00,210000.00,320000.00,15000000.00,0,0
