Localidades,Quantidade_ton,PIB_reais_correntes_2016,População,FN208 - Despesa total com o serviço de coleta de RDO e RPU (Antigo campo CO009),FN220 - Despesa total com serviços de manejo de RSU (Antigo campo GE007),FN223 - Despesa Corrente da Prefeitura durante o ano com TODOS os serviços do município (saúde. educação. pagamento de pessoal. etc.). (Antigo campo GE010),PO001 - O município possui Política de Saneamento Básico Conforme a Lei 11.445/2007?,PO028 - O município possui plano municipal de saneamento básico. elaborado nos termos estabelecidos na Lei 11.445/2007?
Nipoã,4369.40,86712.17,4781.00,232316.66,272672.74,14731859.59,1,1
Nova Aliança,1450.20,117985.00,6289.00,167447.90,301193.60,22000000.00,1,1
Nova Campina,1325.00,283827.5,9303.00,,129183.78,21533735.19,0,0
Nova Canaã Paulista,192.00,34656.7,1987.00,80847.58,144948.43,10717542.85,1,1
Nova Europa,1600.00,313712.1,10323.00,270631.63,290778.58,29359134.33,1,1
Nova Granada,4619.90,418621.5,20411.00,1323614.51,1728579.01,45041034.81,1,1
Nova Guataporanga,578.00,29362.92,2188.00,196853.54,274808.54,10693930.92,0,0
Nova Independência,700.00,123891.00,3547.00,319366.02,639615.09,20311573.53,0,0
Nova Odessa,11203.00,2810059.00,56142.00,2920624.77,3386484.58,143412651.45,1,1
Novais,885.80,48468.25,5256.00,83436.60,96144.96,14535153.37,0,0
Novo Horizonte,9257.10,1246711.00,38281.00,,,,,
Nuporanga,1407.30,468829.00,7141.00,135715.00,159115.00,26853560.54,0,0
Ocauçu,2757.00,96687.33,4149.00,212300.00,468785.00,14238425.00,0,0
Olímpia,15717.00,1899213.00,51826.00,3026890.78,3888541.68,144022553.52,1,1
Onda Verde,1310.00,202840.2,4126.00,120204.00,301753.53,4644117.14,1,1
Orindiúva,3802.40,443243.00,6529.00,182395.58,625673.84,29870936.94,0,0
Orlândia,10945.00,1598881.00,41570.00,934268.09,2692090.44,120931052.15,1,1
Osasco,913009.00,74402691.00,676149.00,74769810.45,77826379.29,1678412558.44,0,1
Osvaldo Cruz,7023.00,974585.4,31185.00,1333098.80,1783275.19,67083953.69,1,1
Ourinhos,37733.00,2772919.00,108327.00,6397118.48,9724671.15,348239827.80,1,0
Ouroeste,5521.00,424151.8,9385.00,,783214.55,52721452.11,1,1
Pacaembu,3925.00,199374.1,13105.00,294962.13,395738.32,34633810.69,0,0
Palestina,2227.60,565086.7,11863.00,485000.00,586500.00,37021859.57,1,1
Palmares Paulista,2038.30,109618.00,12398.00,,,,,
Palmeira d'Oeste,750.00,187300.4,9239.00,110000.00,270000.00,8000000.00,0,0
Palmital,1610.00,612797.8,21484.00,268201.03,1209247.19,57898586.40,1,1
Panorama,912.00,254551.4,15017.00,99855.00,499623.94,40588483.63,0,0
Paraguaçu Paulista,10603.00,1183813.00,43629.00,1230303.95,1520214.48,87119835.78,1,0
Paraibuna,3241.00,255092.4,17976.00,,600000.00,9776214.55,0,1
Paraíso,1524.60,233784.8,6169.00,,516617.13,20542724.51,0,0
Paranapuã,1686.50,82281.16,3873.00,129684.98,179353.12,12518620.23,1,1
Parapuã,5064.00,297742.5,10600.00,393258.36,687972.87,29115242.86,0,0
Pardinho,1600.00,277182.1,6144.00,181208.66,190437.36,27039915.03,0,1
Pariquera-Açu,10.00,505245.5,19015.00,,517681.17,38312637.57,1,1
Parisi,620.00,37168.78,2050.00,305906.19,313595.37,14662028.13,1,1
Patrocínio Paulista,4735.00,889461.2,14031.00,532349.73,1615455.27,46137264.70,1,0
Paulicéia,1207.40,575097.5,6910.00,331889.34,359389.34,28539603.71,0,0
Paulínia,72075.00,31504043.00,98915.00,21413979.15,43745189.27,1033623694.94,1,1
Paulistânia,469.00,30917.32,1774.00,,175475.62,4734705.86,1,1
Paulo de Faria,5808.00,227325.2,8531.00,432482.80,767792.84,28930908.57,1,1
Pederneiras,21901.00,1673972.00,44383.00,1306221.94,2471140.59,113243563.50,1,1
Pedra Bela,630.00,73567.11,5912.00,98734.12,194877.18,18287390.80,1,0
Pedranópolis,370.00,55747.84,2455.00,,355260.00,15002349.30,1,1
Pedreira,13009.00,1124078.00,45161.00,2639667.93,3461900.92,86852392.24,1,1
Pedrinhas Paulista,642.00,101683.5,2990.00,93199.57,296199.81,15536539.44,0,0
Penápolis,19397.00,1685692.00,60157.00,2490148.46,4627616.33,91609977.32,1,1
Pereira Barreto,8991.00,819847.3,25276.00,1305740.45,1452309.65,53612353.73,0,0
Pereiras,1557.50,150353.00,8147.00,,,,,
Piacatu,1155.00,100550.2,5714.00,,403934.35,19458377.27,0,0
Piedade,15394.00,1175922.00,53078.00,,645379.00,36425060.00,1,1
Pilar do Sul,9245.00,594350.8,27692.00,403200.00,655200.00,55000000.00,1,0
Pindamonhangaba,36730.00,6708744.00,158974.00,6035915.42,17767458.80,379439081.33,0,1
Pindorama,3711.50,305689.5,15946.00,822397.26,859050.68,40145313.72,1,1
Pinhalzinho,3248.50,235728.3,14275.00,574224.64,770820.19,31777671.74,0,1
Piquete,2500.00,148416.2,13754.00,960165.53,1181770.79,24061693.32,1,1
Piracaia,6720.00,443893.1,25929.00,1210132.52,2492590.41,62976791.44,1,1
Piracicaba,90122.00,21557592.00,382817.00,49378052.16,79962698.49,1108387121.38,0,1
Piraju,11554.00,602190.8,28569.00,1455472.13,1958458.13,75150031.55,1,1
Pirajuí,4300.00,395072.3,23169.00,832512.00,1137989.71,55508577.73,1,1
Pirangi,3634.00,251809.00,10775.00,348808.51,610721.14,28674145.51,1,1
Pirapozinho,14384.00,722608.5,26461.00,1124073.43,2268855.11,62699461.33,1,1
Pirassununga,26583.00,2474551.00,72691.00,1610900.24,2859467.20,176259570.57,1,1
Piratininga,3203.00,193093.8,12875.00,,835800.00,30584164.88,1,1
Pitangueiras,4779.20,1028381.00,37613.00,1365936.00,2550499.00,92195161.74,0,1
Planalto,3.00,272408.3,4964.00,132637.99,512071.36,21501491.40,1,1
Platina,653.00,76772.15,3408.00,59582.20,220556.46,15147461.47,0,0
Poá,35752.00,4343585.00,112820.00,10100462.18,12261938.63,324912267.69,1,1
Pompéia,6978.00,1070880.00,20901.00,,256280.76,42068539.16,0,0
Pongaí,1390.00,75098.81,3376.00,,796908.57,18068611.57,1,1
Pontal,9584.00,1034414.00,46869.00,2369584.45,2830392.12,80131828.51,1,1
Populina,3144.00,92105.29,4058.00,167261.89,504922.00,18514825.85,0,0
Porangaba,974.10,170534.4,9031.00,138038.53,755551.32,25598583.58,1,1
Porto Feliz,13077.00,1639061.00,50877.00,3683271.91,12962356.31,174314455.33,0,0
Porto Ferreira,10368.00,1745289.00,53361.00,2550173.54,3413355.00,132625972.42,1,1
Potim,24000.00,187880.3,20303.00,,500000.00,49604100.00,1,1
Potirendaba,2040.00,507078.1,16296.00,490000.00,1029000.00,24000000.00,1,1
Pracinha,835.50,26745.83,2893.00,,285255.00,17550000.00,0,0
Pradópolis,3450.00,736528.6,19925.00,,,,,
Praia Grande,140457.00,6181076.00,301024.00,15239079.95,45578113.76,1080708245.00,1,1
Pratânia,1912.00,101120.2,4983.00,348239.41,643411.91,16626454.36,0,0
Presidente Alves,48.00,76266.39,4044.00,,659413.30,13323231.12,1,1
Presidente Bernardes,1000.00,253327.5,13689.00,,752817.91,37872874.43,1,0
Presidente Epitácio,10534.00,1041395.00,42060.00,5724106.07,6363668.18,80121604.48,1,1
Presidente Prudente,100371.00,7406410.00,217290.00,8950911.25,25958516.50,517768366.67,0,0
Presidente Venceslau,33084.00,701394.7,37997.00,701767.13,3299080.97,93454358.23,1,1
Promissão,3935.00,2803097.00,38481.00,,,,,
Quadra,810.00,90695.08,3571.00,,,,,
Quatá,16820.00,452458.8,13599.00,,1000000.00,8000000.00,1,1
Queiroz,450.00,427977.00,3136.00,150000.00,256082.00,15962532.25,1,1
Queluz,1730.10,237968.9,12285.00,228865.16,704329.16,25288578.66,0,1
Quintana,2002.00,152374.3,6355.00,90354.35,716117.88,19262311.87,1,1
Rafard,2040.00,306235.4,8852.00,170414.76,219481.64,32789099.41,1,1
Rancharia,12234.00,1152273.00,28818.00,1177531.84,1347531.84,87000000.00,1,0
Redenção da Serra,850.00,53758.39,3843.00,78243.27,398868.19,15436713.71,1,1
Regente Feijó,31386.00,611870.5,19203.00,382044.00,938844.00,12024369.46,1,1
Reginópolis,3036.40,129573.9,7241.00,509150.00,602245.00,21140037.38,0,0
Registro,25443.00,1823615.00,54091.00,2129800.67,3144176.05,138203433.81,1,1
Restinga,1100.00,175335.00,7218.00,,261400.00,23500638.56,1,1
Ribeirão Bonito,2160.00,226251.2,12707.00,203888.32,215705.32,30134795.06,0,0
Ribeirão Branco,6480.00,407476.8,17723.00,,906142.57,35116784.08,0,0
Ribeirão Corrente,889.00,112561.2,4548.00,181093.68,217337.00,18701317.80,1,1
Ribeirão Grande,900.00,166380.6,7483.00,216604.80,469684.80,21727749.97,0,0
Ribeirão Pires,35420.00,3021839.00,117395.00,8591162.22,9286947.45,238270773.05,1,1
Ribeirão Preto,447123.00,29986609.00,661997.00,43269999.56,56123279.04,2149349024.99,1,1
Rifaina,1576.00,86401.77,3458.00,538000.00,1339000.00,24346674.82,1,1
Rincão,3688.00,174151.00,10466.00,445262.19,534101.70,27550852.53,1,1
Rinópolis,1244.00,219211.6,9776.00,169066.03,246289.63,25769179.76,1,1
Rio Claro,54339.00,8858141.00,196904.00,7352509.07,12160366.35,308805726.79,0,0
Rio das Pedras,9592.00,1114580.00,33041.00,2800000.00,3634960.00,78634007.00,0,1
Rio Grande da Serra,8222.00,578086.5,48076.00,1846771.20,1957033.80,62956734.46,1,1
Riolândia,1562.00,204548.2,11170.00,53460.00,157148.20,17258406.44,0,0
Riversul,490.00,59368.25,5817.00,151500.00,1425970.92,34855751.68,1,1
Rosana,1222.00,2232363.00,18689.00,21480.00,190329.47,69737129.54,1,1
Roseira,2525.00,269308.9,10339.00,,232943.84,28763146.65,0,1
Rubinéia,1080.00,67891.71,2956.00,110498.21,310938.21,16849752.58,1,1
Sabino,1187.00,118548.8,5399.00,261538.90,511681.92,19802878.95,1,1
Sagres,404.00,40943.94,2365.00,,316824.36,9288232.00,0,0
Sales,1460.00,130286.2,5889.00,500000.00,596240.00,22000000.00,0,0
Sales Oliveira,2546.00,320498.7,11255.00,327374.70,1192035.40,30456884.40,1,1
Salesópolis,3612.00,196020.4,16468.00,381240.00,404017.50,10500000.00,1,1
Saltinho,1708.00,197474.8,7652.00,609000.00,926776.39,9758238.09,1,1
Salto,199542.00,6204762.00,112449.00,,21962295.58,289667354.60,0,1
Salto de Pirapora,9662.00,1263910.00,43043.00,1414221.87,2154537.33,98319218.94,0,1
Salto Grande,7760.00,216574.3,8996.00,,528189.62,24512696.16,0,0
Santa Adélia,3445.40,299404.00,14735.00,111375.59,562723.98,40617612.00,1,1
Santa Albertina,900.00,190216.8,5691.00,,,,,
Santa Bárbara d'Oeste,47717.00,5079379.00,186296.00,9537002.13,12198360.54,389406963.86,0,1
Santa Branca,2503.00,251489.7,14059.00,444124.86,690620.98,40157600.98,0,1
Santa Clara d'Oeste,722.00,51418.8,2035.00,,21400.00,13459731.95,1,1
Santa Cruz da Conceição,354.00,131442.5,4247.00,75600.00,210600.00,20000000.00,1,1
Santa Cruz da Esperança,432.00,50426.26,2041.00,,22900.00,12759625.75,0,1
Santa Cruz das Palmeiras,9328.00,453166.8,32622.00,318931.92,685545.68,66365283.16,1,1
Santa Cruz do Rio Pardo,10618.90,1970531.00,45452.00,835451.83,4211086.08,138084583.34,1,1
Santa Ernestina,1477.00,89108.09,5534.00,25078.22,567023.93,14692492.23,1,1
Santa Fé do Sul,40320.00,955477.6,30353.00,,3011246.27,89701884.64,1,1
Santa Gertrudes,7405.00,1300024.00,24818.00,1584676.88,4833370.44,91596309.81,1,1
Santa Isabel,18127.00,1238723.00,53748.00,3997554.11,4738597.17,135605116.69,1,1
Santa Lúcia,803.30,100238.8,8474.00,157589.00,280085.10,16206548.62,1,1
Santa Maria da Serra,1358.00,113636.4,5918.00,30000.00,84158.00,850000.00,1,1
Santa Mercedes,2813.00,61268.29,2815.00,400000.00,567104.66,12907963.22,1,1
Santa Rita d'Oeste,1148.00,55812.13,2446.00,265852.29,411608.36,6223312.01,0,0
Santa Rita do Passa Quatro,6473.00,621984.7,26419.00,160000.00,513375.65,69045643.69,1,1
Santa Rosa de Viterbo,23022.00,729410.8,25096.00,777095.25,1005148.40,56288227.91,0,1
Santana da Ponte Pensa,278.00,33947.69,1543.00,75951.57,182259.67,10816585.15,0,0
Santana de Parnaíba,65807.00,8485338.00,129502.00,9000298.53,12104825.48,587750402.63,0,1
Santo Anastácio,5652.20,397047.8,20205.00,283101.57,541101.57,37612440.27,1,0
Santo André,341847.00,25837046.00,688899.00,77314491.49,103428494.36,1998191800.00,1,1
Santo Antônio da Alegria,5754.00,149909.8,6541.00,190749.32,307847.52,21131504.72,0,0
Santo Expedito,561.00,33299.67,2923.00,122703.56,347073.05,11012217.05,0,0
Santópolis do Aguapeí,971.00,60763.09,4555.00,,134405.02,14498990.71,0,0
Santos,185780.00,21954557.00,425621.00,21934536.90,41126680.71,1881175870.69,1,1
São Bento do Sapucaí,3600.00,178593.4,10501.00,524000.00,852800.00,4852800.00,1,1
São Bernardo do Campo,258808.00,42131380.00,799645.00,,132113997.96,2470292032.80,0,1
São Caetano do Sul,61125.00,13286711.00,150860.00,13112321.15,63169447.47,813806576.62,1,1
São Carlos,233256.00,10063062.00,236958.00,18386106.42,21022757.60,533941735.44,1,1
São Francisco,1130.00,46814.36,2712.00,340344.38,681836.38,11696753.25,0,0
São João da Boa Vista,30790.00,2751092.00,86349.00,2047453.97,6536696.08,208678058.78,0,1
São João de Iracema,360.00,30389.73,1832.00,,,,,
São João do Pau d'Alho,590.70,48473.03,2016.00,91000.00,117000.00,11300677.77,0,0
São Joaquim da Barra,11251.40,1464259.00,49220.00,1375358.40,4045070.40,113199283.07,1,1
São José da Bela Vista,600.00,150891.1,8624.00,,285166.78,23121111.63,0,1
São José do Barreiro,650.00,48498.85,4069.00,54370.30,60370.30,14873936.81,1,1
São José do Rio Pardo,533.00,1689896.00,52839.00,3370247.45,3943113.10,112204136.20,1,1
São José do Rio Preto,476082.00,15735652.00,437273.00,42264103.31,54164538.96,1813327500.00,0,0
São José dos Campos,443957.00,37315783.00,687544.00,23482805.14,94903669.28,1831596580.49,1,1
São Lourenço da Serra,4321.20,196330.8,15082.00,,,,,
São Luís do Paraitinga,4005.00,143813.4,10511.00,447911.04,809447.30,28998553.66,0,0
São Manuel,12502.00,1115217.00,39202.00,1010800.00,2229700.00,92000000.00,1,1
São Miguel Arcanjo,4354.00,648708.2,31809.00,1444880.00,2289141.00,70000000.00,1,1
São Pedro do Turvo,2210.00,194315.5,7308.00,,396175.00,23118267.52,1,1
São Roque,28.00,2530729.00,85059.00,,,,,
São Sebastião,1404.20,3517128.00,83314.00,,,,,
São Sebastião da Grama,3945.00,313908.5,11960.00,486355.79,757507.77,32770499.54,0,1
São Simão,120.00,445653.1,14689.00,0.00,180000.00,46328052.19,0,0
São Vicente,89389.00,5046457.00,350254.00,,66790524.95,730085477.80,0,1
Sarapuí,1645.00,133110.3,9782.00,80000.00,188200.00,1000000.00,0,0
Sarutaiá,72.50,63304.26,3636.00,64428.00,250356.00,15170355.36,0,1
Sebastianópolis do Sul,547.00,853865.7,3229.00,,,,,
Serra Azul,4986.00,143962.5,11966.00,840000.00,1070400.00,24972758.47,1,1
Serra Negra,7443.30,668012.3,27164.00,1500000.00,2215000.00,76447862.99,0,1
Serrana,13259.00,882842.7,42820.00,2537000.00,3030140.00,115664165.07,1,0
Sertãozinho,36207.00,5119743.00,119010.00,3452289.56,11816750.12,306062121.40,0,1
Sete Barras,2948.00,367439.4,12666.00,302415.00,784138.66,33098226.26,1,1
Severínia,4200.00,611863.00,16649.00,105792.00,220640.94,51726745.39,0,0
Socorro,17330.00,747442.7,38221.00,2220339.69,2623967.63,94753961.46,0,1
Sorocaba,182484.00,30593861.00,637436.00,36637476.42,78918971.29,1536351610.00,0,1
Sud Mennucci,6244.40,291720.2,7639.00,313117.44,820131.94,30594281.38,1,1
Sumaré,79171.00,12061113.00,271202.00,12420000.00,13966192.00,629000000.00,1,1
Suzanápolis,650.00,310646.5,3790.00,187628.96,399358.55,20685852.09,0,0
Suzano,101847.00,9468888.00,282428.00,17520408.00,43480918.00,363271892.58,0,0
Tabapuã,2815.10,255913.6,11759.00,265215.45,359225.82,32693491.98,1,1
Tabatinga,6528.00,235916.6,15540.00,194921.56,828587.08,35033440.43,0,0
Taboão da Serra,151253.50,8350023.00,272130.00,16887286.80,35411238.00,360000000.00,0,0
Taciba,1450.00,130239.4,5954.00,78000.00,382000.00,30314921.45,1,1
Taiaçu,4653.70,79970.65,5996.00,118997.65,180174.17,16057349.96,0,0
Taiúva,3670.00,100595.7,6313.00,113012.86,179825.23,16758797.61,0,0
Tambaú,5798.00,489395.9,22666.00,539567.11,954334.22,59848064.33,0,1
Tanabi,5569.00,1201448.00,24837.00,277200.00,818100.00,64887936.19,0,0
Tapiraí,1680.00,144531.4,7749.00,181283.63,227673.83,21919147.22,1,1
Tapiratiba,2637.00,290820.00,12635.00,111404.32,188621.71,30661917.67,1,1
Taquaral,560.00,39699.64,2739.00,118788.05,181826.99,12749348.61,0,1
Tarabai,3600.00,97438.23,7070.00,,205617.67,22137973.06,0,0
Tarumã,10128.00,1128852.00,14242.00,1022010.61,1537621.72,49070481.10,1,1
Tatuí,29517.00,3671217.00,116296.00,9600000.00,10961664.00,238565632.83,0,1
Taubaté,109500.00,14135705.00,299140.00,17596508.50,73583422.91,864490062.90,1,1
Teodoro Sampaio,13907.00,1076268.00,22122.00,602190.79,1330223.59,63707812.50,1,1
Terra Roxa,4020.00,128880.9,8939.00,427305.20,779523.74,86255120.00,1,1
Tietê,8618.00,1734556.00,39836.00,3101767.44,3400540.57,114487434.60,1,1
Timburi,650.00,48847.75,2580.00,265881.14,363681.14,14932468.71,0,0
Torre de Pedra,685.00,22804.52,2299.00,75870.30,230560.17,11803136.72,1,1
Torrinha,2140.00,199847.8,9597.00,43940.00,571191.00,22205469.72,1,1
Tremembé,12000.00,656524.2,44617.00,,1596000.00,120570000.00,0,0
Três Fronteiras,2096.00,93610.41,5514.00,154086.85,436288.48,16098945.89,0,0
Tuiuti,1314.30,109998.00,6382.00,,,,,
Tupã,17911.00,1670492.00,63004.00,3648285.24,5062494.92,136865486.86,0,1
Tupi Paulista,5657.00,260852.1,14805.00,1053526.30,1174255.30,37409106.36,1,1
Turiúba,720.00,39074.56,1921.00,78910.47,236626.19,13651713.80,0,0
Turmalina,180.00,54058.33,1852.00,94301.47,325224.10,12182336.71,0,0
Ubarana,5460.00,441480.8,5838.00,652499.01,659186.71,24163285.82,1,1
Ubatuba,42970.00,1786358.00,85866.00,7024617.60,9744234.79,256466975.10,1,1
Ubirajara,535.20,91881.7,4593.00,87936.74,367586.10,15186562.92,1,1
Uchoa,1782.70,311434.9,9626.00,201392.00,216114.00,31858391.00,1,1
Urânia,4500.00,181975.8,8685.00,189519.45,371543.54,20769715.01,0,0
Uru,137.80,47516.79,1217.00,248677.13,404320.30,14696297.12,0,1
Urupês,4778.60,338378.3,13039.00,,,,,
Valentim Gentil,3096.40,339245.9,12268.00,314888.02,658164.12,29833238.35,0,0
Valinhos,35479.00,5095635.00,120369.00,5247469.77,14634206.17,349650144.62,0,0
Vargem Grande do Sul,7500.00,891382.6,40863.00,272772.72,597422.88,69663763.15,0,0
Vargem Grande Paulista,14422.60,1745432.00,49842.00,3835762.20,5380850.07,135679387.44,1,1
Várzea Paulista,1476.00,2360681.00,116785.00,7386825.94,10331986.72,192405770.05,1,1
Vera Cruz,579.20,123293.7,10584.00,,,,,
Vinhedo,67292.00,7830624.00,73561.00,,,,,
Viradouro,4807.30,292404.00,18050.00,198192.00,242670.06,51606342.54,0,0
Vista Alegre do Alto,8902.60,347786.00,7697.00,264330.19,358831.88,25676316.81,0,0
Vitória Brasil,504.00,31994.91,1755.00,84577.80,151379.67,11197879.92,1,0
Votorantim,33048.00,4387884.00,116562.00,5298432.33,5411630.35,264475726.07,0,1
Votuporanga,25419.00,2680060.00,89776.00,3611452.35,7241535.01,232182606.29,1,1
Zacarias,2649.00,75934.89,2498.00,92642.91,284226.09,5088448.85,0,1
