Cidades,Quantidade_ton,PIB_reais_correntes_2016,População,Grau de Urbanização (Em %)
Itaquaquecetuba,94603,6507690,355502,100
Itarare,7368,923171.8,48633,92.63
Itariri,1885,231645,16720,69.29
Itatiba,32434,5122839,113324,86.37
Itatinga,3600,265524.9,19779,92.74
Itirapina,9544,404517.5,16682,91.87
Itirapua,966,77912.12,6167,85.54
Itobi,1250,127386.9,7591,93.11
Itu,148318,7641850,165253,94.69
Itupeva,10165,4685473,54901,91.98
Jaborandi,4550,141217.4,6657,94.61
Jaboticabal,33901,2668378,73541,97.98
Jacareí,55118,9980970,223207,98.62
Jaci,1487,387969.9,6587,90.37
Jaguariuna,8627,8422261,52125,98.05
Jales,104768,1314174,47204,94.1
Jambeiro,1810,274960.4,5989,47.87
Jandira,31581,3419632,119011,100
Jardinopolis,9927,1012332,41436,97.62
Jarinu,8609,1978140,28070,83.9
Jau,34099,4326560,142860,97.39
Joao Ramalho,731,158878.7,4313,88.08
Jose Bonifacio,7430,1235143,35036,91.94
Jumirim,584,71859.8,3166,63.52
Jundiai,292985,39782736,397353,96.77
Junqueiropolis,7678,951295,19666,84.26
Juquia,1939,346043.3,18878,64.7
Juquitiba,7100,442468.8,29862,83.62
Lagoinha,940,57554.16,4819,69.21
Laranjal Paulista,7470,879382.3,27077,90.27
Lavinia,1339,146398.7,8570,48.81
Leme,31100,2941350,98284,98.17
Lencois Paulista,59370,2454900,64933,98.16
Limeira,228557,11069068,290613,97.52
Lindoia,1506,151744.9,7456,100
Lins,40561,4216272,74120,98.83
Lorena,20244,2351891,85442,97.46
Lourdes,588,37866.98,2171,84.66
Louveira,22687,11263136,45236,97.35
Lucelia,8761,395512.7,20701,87.2
Lucianopolis,480,53276.62,2254,80.83
Luiziania,1500,69319.47,5536,93.86
Lupercio,718,52070.54,4400,94.27
Lutecia,573,87685.92,2644,82.64
Macatuba,4294,624880,16736,97.63
Macaubal,1979,143204.2,7740,90.12
Macedonia,210,71746.25,3600,78.5
Magda,622,67989.13,3122,84.82
Mairinque,12416,1802771,45439,80.26
Manduri,1361,178525,9378,90.84
Maraba Paulista,2980,146392.1,4893,44.51
Maracai,2988,515045.4,13473,92.01
Marapoama,436,427212.7,2830,88.69
Marilia,56912,7353419,227380,95.51
Marinopolis,1110,30877.23,2100,81.48
Martinopolis,3914,560867,25242,86.1
